Pays;Job_Family;Grade;Min;Mid;Max;Devise
Maroc;TRANSFORMATION;2;257.63;384.52;511.41;MAD
Maroc;TRANSFORMATION;3;206.1;307.62;409.13;MAD
Maroc;TRANSFORMATION;4;164.88;246.09;327.3;MAD
Maroc;TRANSFORMATION;5;131.91;196.88;261.84;MAD
Maroc;TRANSFORMATION;6;105.53;157.5;209.48;MAD
Maroc;TRANSFORMATION;7;84.42;126.0;167.58;MAD
Maroc;JURIDIQUE;1;407.48;608.18;808.88;MAD
Maroc;JURIDIQUE;2;313.45;467.83;622.21;MAD
Maroc;JURIDIQUE;3;241.11;359.87;478.63;MAD
Maroc;JURIDIQUE;4;185.47;276.82;368.17;MAD
Maroc;JURIDIQUE;5;142.67;212.94;283.21;MAD
Maroc;JURIDIQUE;6;109.75;163.8;217.85;MAD
Maroc;JURIDIQUE;7;84.42;126.0;167.58;MAD
Maroc;TRANSVERSE;1;322.04;480.65;639.27;MAD
Maroc;TRANSVERSE;2;257.63;384.52;511.41;MAD
Maroc;TRANSVERSE;3;206.1;307.62;409.13;MAD
Maroc;TRANSVERSE;4;164.88;246.09;327.3;MAD
Maroc;TRANSVERSE;5;131.91;196.88;261.84;MAD
Maroc;TRANSVERSE;6;105.53;157.5;209.48;MAD
Maroc;TRANSVERSE;7;84.42;126.0;167.58;MAD
